Requirement_ID,Requirement,Sub_Feature_ID,Sub_Feature,Test_Case_ID,Test_Case_Name,Feature_Description,Verification_Goal,Stimuli,Test_Type,Coverage_Method,Covergroup_Binding,Assertion_Binding,Sequence_Binding,Criteria_Pass_Fail,Priority,RTL_Reference,Spec_Reference,Status
REQ-F13.0,MMU 复位与初始化,F13.6,reset output no X,"RST-006",test_reset_output_no_x,"复位期间输出无 X","X 检查","reset monitor","Directed","Testcase","reset_x_cg","mmu_reset_sva.sv:a_no_x_during_rst","x monitor seq","复位期间输出无 X","P1","mmu/rtl/ct_mmu_top.v","验证方法 §2.3","Planned"
REQ-F13.0,MMU 复位与初始化,F13.7,mmu_en after reset,"RST-007",test_mmu_en_after_reset,"mmu_xx_mmu_en 初始状态指示","MMU 使能信号","reset → release → check","Directed","Testcase","reset_mmu_en_cg","mmu_reset_sva.sv:a_mmu_en_init","mmu_en read seq","mmu_xx_mmu_en 指示正确","P1","mmu/rtl/ct_mmu_top.v:50","MMU 规格 §8.6","Planned"
REQ-F13.0,MMU 复位与初始化,F13.8,immediate operation,"RST-008",test_reset_immediate_operation,"复位后立即可工作","复位恢复速度","reset → immediate request","Directed","Testcase","reset_immed_cg","mmu_reset_sva.sv:a_ready_after_rst","immed request seq","复位后立即可工作","P0","mmu/rtl/ct_mmu_top.v","MMU 规格 §8.7","Planned"
REQ-F14.0,MMU 压力与综合场景,F14.1,3pipe concurrent max,"STRESS-001",test_3pipe_concurrent_max_rate,"IFU+LSU0+LSU1+Pipe2 打满","三路打满功能","high rate concurrent","Constrained-Random","Testcase","stress_3pipe_cg","mmu_arb_sva.sv:a_no_deadlock","mmu_stress_all_ports_vseq","3 pipe 打满无死锁","P1","mmu/rtl/mmu_arb.sv","MMU 规格 §9.1","Planned"
REQ-F14.0,MMU 压力与综合场景,F14.2,L2TLB saturated MB full,"STRESS-002",test_l2tlb_saturated_mb_full,"L2 TLB+MB 饱和","容量饱和功能","L2 full setup","Constrained-Random","Testcase","stress_l2_cg","mmu_l2tlb_sva.sv:a_l2_mb_full","l2 saturation vseq","L2+MB 饱和功能正常","P1","mmu/rtl/mmu_l2tlb.sv","MMU 规格 §9.2","Planned"
REQ-F14.0,MMU 压力与综合场景,F14.3,bank conflict reqq full,"STRESS-003",test_l2_bank_conflict_and_reqq_full,"8 bank 冲突+ReqQ 满","bank 冲突处理","8 bank conflict scenario","Constrained-Random","Testcase","stress_bank_cg","mmu_arb_sva.sv:a_bank_fair","bank conflict vseq","bank 冲突+ReqQ 满可恢复","P2","mmu/rtl/mmu_l2tlb_reqq.sv","MMU 规格 §9.3","Planned"
REQ-F14.0,MMU 压力与综合场景,F14.4,PTW 4tws full wakeup,"STRESS-004",test_ptw_4tws_full_wakeup_dense,"4 TWU+MB 满，wakeup 高密度","PTW 满载功能","4 TWU thrash scenario","Constrained-Random","Testcase","stress_ptw_cg","mmu_ptw_sva.sv:a_wakeup_accurate","mmu_ptw_thrash_vseq","4 TWU+MB 满，wakeup 正确","P1","mmu/rtl/ptw.sv","MMU 规格 §9.4","Planned"
REQ-F14.0,MMU 压力与综合场景,F14.5,SATP hotswap,"STRESS-005",test_satp_hotswap_concurrent,"SATP 热切换无中断","SATP 切换功能","rapid SATP switch + access","Constrained-Random","Testcase","stress_satp_cg","mmu_cp0_sva.sv:a_satp_switch_ok","mmu_satp_hotswap_vseq","SATP 热切换无中断","P1","mmu/rtl/ct_mmu_regs.v","MMU 规格 §9.5","Planned"
REQ-F14.0,MMU 压力与综合场景,F14.6,SFENCE high freq,"STRESS-006",test_sfence_high_frequency,"高频 SFENCE 无死锁","SFENCE 处理","high freq SFENCE request","Constrained-Random","Testcase","stress_sfence_cg","mmu_tlbop_sva.sv:a_sfence_deadlock","mmu_sfence_during_walk_vseq","高频 SFENCE 无死锁","P1","mmu/rtl/ct_mmu_tlboper.v","MMU 规格 §9.6","Planned"
REQ-F14.0,MMU 压力与综合场景,F14.7,ASID thrashing,"STRESS-007",test_asid_thrashing,"多 ASID 切换 hit rate 恢复","ASID 切换功能","rapid ASID context switch","Constrained-Random","Testcase","stress_asid_cg","mmu_cp0_sva.sv:a_asid_switch_ok","mmu_asid_context_switch_vseq","多 ASID 切换 hit rate 恢复快","P1","mmu/rtl/ct_mmu_top.v","MMU 规格 §9.7","Planned"
REQ-F14.0,MMU 压力与综合场景,F14.8,huge 4k page mix,"STRESS-008",test_huge_4k_page_mix,"1G/2M/4K 混合替换正确","巨页混合功能","1G/2M/4K page access mix","Constrained-Random","Testcase","stress_page_cg","mmu_l2tlb_sva.sv:a_page_size_mix","mmu_huge_page_mix_vseq","1G/2M/4K 混合替换正确","P1","mmu/rtl/mmu_l2tlb.sv","MMU 规格 §9.8","Planned"
REQ-F14.0,MMU 压力与综合场景,F14.9,100k txn stable run,"STRESS-009",test_100k_txn_stable_run,"100K+ 事务无死锁/数据错","长时间稳定性","100K+ txn stimulus","Constrained-Random","Testcase","stress_stability_cg","mmu_top_sva.sv:a_no_deadlock","mmu_stress_all_ports_vseq","100K+ 事务无死锁/数据错","P0","mmu/rtl/ct_mmu_top.v","验证计划 F14.9","Planned"
REQ-F14.0,MMU 压力与综合场景,F14.10,error rain,"STRESS-010",test_error_rain_mixed_fault,"random bus_error+illegal PTE","错误处理功能","error injection stimulus","Error-Injection","Testcase","stress_error_cg","mmu_error_sva.sv:a_error_handling","mmu_error_rain_vseq","random bus_error + illegal PTE","P1","mmu/rtl/ptw.sv","MMU 规格 §9.9","Planned"
REQ-F14.0,MMU 压力与综合场景,F14.11,RRPV aging,"STRESS-011",test_rrpv_aging_replacement,"RRPV 替换在高 miss 下正确","替换政策正确性","high miss rate stimulus","Constrained-Random","Testcase","stress_replace_cg","mmu_l2tlb_sva.sv:a_rrpv_correct","mmu_rrpv_aging_vseq","RRPV 替换在高 miss 下正确","P2","mmu/rtl/mmu_l2tlb_replacement_policy.sv","MMU 规格 §9.10","Planned"
REQ-F14.0,MMU 压力与综合场景,F14.12,reset mid transaction,"STRESS-012",test_reset_mid_transaction,"mid-transaction 复位恢复正确","复位恢复功能","reset during mid-txn","Error-Injection","Testcase","stress_reset_cg","mmu_reset_sva.sv:a_mid_txn_recovery","mmu_reset_midtransaction_vseq","mid-transaction 复位恢复正确","P1","mmu/rtl/ct_mmu_top.v","MMU 规格 §8.4","Planned"
REQ-F14.0,MMU 压力与综合场景,F14.13,power gating,"STRESS-013",test_power_gating_sequence,"门控序列无异常","电源管理功能","power gating sequence","Directed","Testcase","stress_power_cg","mmu_power_sva.sv:a_power_gating_ok","mmu_power_gating_vseq","门控序列无异常","P2","mmu/rtl/ct_mmu_top.v","MMU 规格 §7.4","Planned"
F1.14,L1ITLB PLRU 复位初值,F1.14,L1ITLB_PLRU_RST,ITLB_PLRU_RST_001,IFU PLRU reset init,L1 ITLB iplru tree post-reset deterministic state,Verify iplru pointer post-reset is 0/known,reset+ifu_random_vaddr_seq first 16 distinct VPN,Directed,Function Coverage,cg_itlb,sva_plru_valid,ifu_random_vaddr_seq,first 16 alloc deterministic order,P0,mmu/rtl/ct_mmu_iplru.v,Internal,Active
F1.10b,SFENCE.VMA VA-only 8-bit alias,F1.10b,L1ITLB_SFENCE_VA8,ITLB_INV_VA8_alias_001,IFU SFENCE VA8 alias,L1 ITLB INV_VA only matches VPN[7:0] - alias risk,Verify aliased VPN entries also invalidated by intent,tlb_inv_va_seq with VPN[7:0]-collide,Directed,Function Coverage,cg_inv_va_alias,N/A,tlb_inv_va_seq,All aliased entries flushed,P0,mmu/rtl/mmu_l1itlb.sv,Internal,Active
F1.15,refill+INV race,F1.15,L1ITLB_REFILL_INV_RACE,ITLB_REFILL_INV_RACE_001,IFU refill vs INV race,L1 ITLB INV during pending refill,Verify refill blocked or replayed,tlb_inv_during_walk_vseq,Directed,Function Coverage,cg_itlb,sva_inv_during_refill,tlb_inv_during_walk_vseq,No stale entry installed,P1,mmu/rtl/mmu_l1itlb.sv,Internal,Active
F1.16,hit+refill PLRU 一致,F1.16,L1ITLB_HIT_REFILL,ITLB_PLRU_HIT_REFILL_001,IFU PLRU hit+refill,L1 ITLB PLRU update on concurrent hit and refill,Verify PLRU correct precedence,ifu_random_vaddr_seq + concurrent hit,Directed,Function Coverage,cg_itlb,sva_plru_valid,ifu_random_vaddr_seq,PLRU consistent,P1,mmu/rtl/ct_mmu_iplru.v,Internal,Active
F1.17,pgs encoding 不匹配,F1.17,L1ITLB_PGS,ITLB_PGS_MISMATCH_001,IFU pgs mismatch,L1 ITLB pgs vs L2 refill page-size mismatch,Verify mismatch detected/illegal,error inject seq,Error-Injection,Function Coverage,cg_itlb,sva_pgs_valid,ifu_pagefault_trigger_seq,Page fault or refill rejected,P1,mmu/rtl/mmu_l1itlb.sv,Internal,Active
F1.18,abort 中段 refill,F1.18,L1ITLB_ABORT_REFILL,ITLB_ABORT_REFILL_001,IFU abort mid-refill,L1 ITLB abort during pending refill,Verify abort cancels install or completes silently,ifu_abort_seq mid-refill,Directed,Function Coverage,cg_itlb,sva_abt_protocol,ifu_abort_seq,No spurious install,P1,mmu/rtl/mmu_l1itlb.sv,Internal,Active
F1.13,FST/huge mix,F1.13,L1ITLB_FST_MIX,ITLB_FST_MIX_001,IFU FST huge mix,L1 ITLB FST + huge entry mixed allocation,Verify huge_entry vs fst_entry coexist,ifu_huge_page_fetch_seq mix,Directed,Function Coverage,cg_itlb,N/A,ifu_huge_page_fetch_seq,No collision,P1,mmu/rtl/ct_mmu_iutlb_huge_entry.v ct_mmu_iutlb_fst_entry.v,Internal,Active
F2.3,DTLB MB FSM WFI,F2.3,L1DTLB_MB_FSM,DTLB_MB_FSM_WFI_001,LSU MB WFI states,L1 DTLB MB FSM WFI/WAIT/REFILL transitions,Verify all FSM states/transitions visited,mb_wfi_seq,Directed,Function Coverage,mbuf_alloc_cg cg_mbuf_fsm,sva_mb_fsm,mb_wfi_seq,All states reached,P0,mmu/rtl/mmu_l1dtlb_mb_entry.sv,Internal,Active
F2.10,credit boundary,F2.10,L1DTLB_CREDIT,DTLB_CREDIT_BOUND_001,LSU credit max-1,L1 DTLB MB credit at max-1 boundary,Verify exact 8-credit max behavior,credit boundary seq,Directed,Function Coverage,mbuf_alloc_cg,sva_credit_wrap,lsu_random_vaddr_seq,No deadlock at boundary,P0,mmu/rtl/mmu_l1dtlb_scheduler.sv,Internal,Active
F2.13,DTLB INV VA 8-bit alias,F2.13,L1DTLB_INV_VA8,DTLB_INV_VA8_alias_001,LSU SFENCE VA8 alias,L1 DTLB INV_VA only VPN[7:0] - alias risk,Verify aliased entries flushed,tlb_inv_va_seq alias,Directed,Function Coverage,cg_inv_va_alias,N/A,tlb_inv_va_seq,All aliased entries flushed,P0,mmu/rtl/mmu_l1dtlb.sv,Internal,Active
F2.14,STAMO Pipe0 only,F2.14,L1DTLB_STAMO_ASYM,DTLB_STAMO_PIPE0_001,LSU STAMO Pipe0,STAMO bypass on Pipe0 only - Pipe1 negative,Verify Pipe1 STAMO not effective,stamo pipe asym seq,Directed,Function Coverage,attr_propagation_cg,sva_stamo_bypass,lsu_stamo_seq,Pipe0 PA from stamo_pa Pipe1 ignored,P0,mmu/rtl/mmu_l1dtlb_hit_rd.sv,Internal,Active
F2.14,STAMO Pipe1 negative,F2.14,L1DTLB_STAMO_ASYM,DTLB_STAMO_PIPE1_NEG_001,LSU STAMO Pipe1 neg,Negative test STAMO via Pipe1,Verify rejected/no bypass,stamo pipe1 seq,Directed,Function Coverage,attr_propagation_cg,sva_stamo_bypass,lsu_stamo_seq,No bypass,P0,mmu/rtl/mmu_l1dtlb_hit_rd.sv,Internal,Active
F2.15,DTLB 3-way install arb,F2.15,L1DTLB_INSTALL_ARB,DTLB_INSTALL_ARB_001,LSU install priority,L1 DTLB install path 3-way arb (refill/MB/STAMO),Verify priority deterministic,install_priority seq,Directed,Function Coverage,mbuf_alloc_cg,N/A,lsu_install_seq,Priority correct,P0,mmu/rtl/mmu_l1dtlb_install.sv,Internal,Active
F2.16,DTLB allocator full+race,F2.16,L1DTLB_ALLOC,DTLB_ALLOC_FULL_001,LSU allocator full,L1 DTLB allocator FFZ full and race,Verify FFZ corner,full+race seq,Stress,Function Coverage,mbuf_alloc_cg,sva_alloc_unique,lsu_random_vaddr_seq,No double alloc,P0,mmu/rtl/mmu_l1dtlb_allocator.sv,Internal,Active
F2.16,DTLB allocator race,F2.16,L1DTLB_ALLOC,DTLB_ALLOC_RACE_001,LSU allocator race,Concurrent dual-port allocation race,Verify uniqueness,full+race seq,Stress,Function Coverage,mbuf_alloc_cg,sva_alloc_unique,lsu_random_vaddr_seq,Single alloc per cycle,P0,mmu/rtl/mmu_l1dtlb_allocator.sv,Internal,Active
F2.17,wakeup broadcast,F2.17,L1DTLB_WAKEUP,DTLB_WAKEUP_BCAST_001,LSU wakeup broadcast,L1 DTLB wakeup all waiters on refill,Verify wakeup broadcast,wakeup_broadcast seq,Directed,Function Coverage,mbuf_alloc_cg,sva_wakeup_broadcast,mmu_concurrent_3pipe_vseq,All waiters wake,P0,mmu/rtl/mmu_l1dtlb_scheduler.sv,Internal,Active
F2.18,busy threshold,F2.18,L1DTLB_BUSY,DTLB_BUSY_THRESHOLD_001,LSU MB full threshold,L1 DTLB busy threshold/back-pressure,Verify busy correctly asserted,mb_full seq,Directed,Function Coverage,mbuf_alloc_cg,N/A,lsu_random_vaddr_seq,Busy correct,P1,mmu/rtl/mmu_l1dtlb_scheduler.sv,Internal,Active
F2.19,hit+miss concurrent,F2.19,L1DTLB_CONCURRENT,DTLB_HIT_MISS_CONCURRENT_001,LSU pipe01 hit/miss,Pipe0 hit + Pipe1 miss same cycle,Verify no interference,pipe01 mixed seq,Directed,Function Coverage,dtlb_cg,N/A,lsu_pipe01_concurrent_seq,Both correct,P1,mmu/rtl/mmu_l1dtlb.sv,Internal,Active
F2.20,MB pgflt + abort late refill,F2.20,L1DTLB_MB_ABT,DTLB_MB_PGFLT_001,LSU MB pgflt,MB pending pgflt response,Verify report path,abort+pgflt seq,Error-Injection,Function Coverage,mbuf_alloc_cg cg_mbuf_fsm,sva_mb_fsm,lsu_pagefault_trigger_seq,Pgflt reported,P1,mmu/rtl/mmu_l1dtlb_mb_entry.sv,Internal,Active
F2.20,MB abort late refill,F2.20,L1DTLB_MB_ABT,DTLB_MB_ABT_LATE_REFILL_001,LSU abort late refill,MB abort while refill mid-flight,Verify entry cleared no install,abt_late_refill seq,Error-Injection,Function Coverage,cg_mbuf_fsm,sva_mb_fsm,lsu_abort_seq,No spurious install,P1,mmu/rtl/mmu_l1dtlb_mb_entry.sv,Internal,Active
F2.21,install ID check,F2.21,L1DTLB_INSTALL_ID,DTLB_INSTALL_ID_CHK_001,LSU install ID,Install ID match check,Verify ID matches outstanding MB,sva trigger,SVA,Assertion,N/A,sva_install_id,lsu_random_vaddr_seq,No ID mismatch,P1,mmu/rtl/mmu_l1dtlb_install.sv,Internal,Active
F2.22,huge mix dual hit,F2.22,L1DTLB_HUGE_DUAL,DTLB_HUGE_MIX_001,LSU huge mix,Huge+4K entries dual-port hit,Verify mux/PLRU correct,huge mix seq,Directed,Function Coverage,dtlb_cg,N/A,lsu_huge_page_seq,Both PA correct,P1,mmu/rtl/mmu_l1dtlb.sv ct_mmu_dutlb_huge_entry.v,Internal,Active
F2.22,dual-hit mux,F2.22,L1DTLB_DUAL_HIT,DTLB_DUAL_HIT_MUX_001,LSU dual hit mux,Dual-port hit conflicting way,Verify mux winner deterministic,dual hit seq,Directed,Function Coverage,dtlb_cg,N/A,lsu_pipe01_concurrent_seq,Mux deterministic,P1,mmu/rtl/mmu_l1dtlb_hit_rd.sv,Internal,Active
F2.17,wakeup OR exception path,F2.17,L1DTLB_WAKEUP_EXPT,DTLB_WAKEUP_EXPT_001,LSU wakeup on PTW expt,wakeup_vec_next = {12{mb_have_free}} | {12{l1dtlb_expt_for_taken}} - exception path triggers wakeup,Verify wakeup asserted on ptw_ref_fault/l2tlb_ref_fault even when MB not free,ptw_pgflt_seq + ptw_acflt_seq with MB-full preconditioned,Directed,Function Coverage,mbuf_alloc_cg cg_wakeup_path,sva_wakeup_uniform,lsu_pagefault_trigger_seq,wakeup[11:0]=12'hFFF on expt cycle,P0,mmu/rtl/mmu_l1dtlb_install.sv:233-290,Internal,Active
F2.A1,JTLB no ACFLT,F2.A1,L1DTLB_JTLB_NO_ACFLT,DTLB_JTLB_NO_ACFLT_001,LSU JTLB no acflt,JTLB hit-refill cannot raise ACFLT (jtlb_dutlb_acc_err commented out),Verify install path req_jtlb_expt only carries pgflt - negative for acflt,jtlb_install_seq with synthetic acc_err pin tie-low,Negative,Function Coverage,cg_install_expt,sva_jtlb_no_acflt,lsu_install_seq,No ACFLT from JTLB path,P1,mmu/rtl/mmu_l1dtlb_install.sv:260-290,Internal,Active
F2.A2,PTW DTLB ID truncation,F2.A2,L1DTLB_PTW_ID_TRUNC,DTLB_PTW_ID_TRUNC_001,LSU PTW id trunc,ct_mmu_top truncates ptw_l1dtlb_id[5:0] to [2:0] when wiring to DTLB,Verify 6 to 3 bit truncation no alias misroute,ptw_id_alias_seq spanning ID space,Directed,Function Coverage,cg_ptw_id_trunc,sva_ptw_dtlb_id_no_alias,lsu_random_vaddr_seq,Install delivered to correct MB entry,P1,mmu/rtl/ct_mmu_top.v:106 mmu_l1dtlb_install.sv,Internal,Active
F2.A3,is_load polarity sanity,F2.A3,L1DTLB_REQ_ISLOAD,DTLB_REQ_ISLOAD_POL_001,LSU is_load polarity,dutlb_l2tlb_req_is_load = ~dutlb_l2tlb_req_store - downstream is_load=1 when not store,Verify polarity matches across DTLB-L2TLB boundary,lsu_random_vaddr_seq + lsu_stamo_seq mix,Directed,Assertion,cg_isload_polarity,sva_isload_polarity,lsu_random_vaddr_seq,is_load XOR store always 1,P2,mmu/rtl/mmu_l1dtlb.sv:121+747,Internal,Active
F2.A4,scheduler bypass priority,F2.A4,L1DTLB_SCHED_BYPASS,DTLB_SCHED_BYPASS_PRIO_001,LSU sched bypass prio,bypass_en = ~|mb_entry_ready and sel_mb priority over sel_bypass,Verify bypass disabled when any MB entry ready - sel_mb wins,sched_bypass_priority_seq,Directed,Function Coverage,cg_scheduler cg_bypass_path,sva_bypass_priority,lsu_random_vaddr_seq,No bypass when MB ready,P1,mmu/rtl/mmu_l1dtlb_scheduler.sv:60-145,Internal,Active
F2.A5,abort_hold clear window,F2.A5,L1DTLB_MB_ABTHOLD,DTLB_MB_ABTHOLD_CLR_001,LSU abthold clear,abort_hold_r cleared only at IDLE or state_nxt==IDLE,Verify install suppression when PTW responds before IDLE,abort_then_late_refill_seq,Error-Injection,Function Coverage,cg_mb_fsm_7state cg_abthold,sva_abthold_clr,lsu_abort_seq,No install while abort_hold_r=1,P1,mmu/rtl/mmu_l1dtlb_mb_entry.sv:121-195,Internal,Active
F2.A6,WFC abort refill triple race gnt,F2.A6,L1DTLB_MB_WFC_ABT,DTLB_MB_WFC_ABT_REFILL_001,LSU WFC abort refill gnt,WFC + abort + refill same cycle with issue_grant=1 - go ABT wait late resp,Verify entry transitions WFC->ABT and clears without install,wfc_abt_refill_gnt_seq,Error-Injection,Function Coverage,cg_mb_fsm_7state,sva_no_install_after_abt,lsu_abort_seq,WFC->ABT->IDLE no install,P0,mmu/rtl/mmu_l1dtlb_mb_entry.sv:121-195,Internal,Active
F2.A6,WFC abort refill triple race no-gnt,F2.A6,L1DTLB_MB_WFC_ABT,DTLB_MB_WFC_ABT_REFILL_002,LSU WFC abort refill nogn,WFC + abort + refill same cycle with issue_grant=0 - install suppressed by abort_hold_r,Verify abort_hold_r masks install on PTW refill,wfc_abt_refill_nogn_seq,Error-Injection,Function Coverage,cg_mb_fsm_7state cg_abthold,sva_no_install_after_abt sva_abthold_clr,lsu_abort_seq,Install masked entry recycled,P0,mmu/rtl/mmu_l1dtlb_mb_entry.sv:121-195,Internal,Active
F2.A7,RTL lint MB_WIDTH undef,F2.A7,L1DTLB_LINT,DTLB_LINT_001,DTLB lint MB_WIDTH,mmu_l1dtlb.sv L244 references undefined MB_WIDTH (typo for MB_DEPTH-1 or $clog2(MB_DEPTH)),Verify lint clean after RTL fix - GAP P1,N/A,Lint,Lint,N/A,sva_lint_clean,N/A,Lint pass with no undef symbol,P1,mmu/rtl/mmu_l1dtlb.sv:244,Internal,Active
F2.A8,PLRU bank1 dead code,F2.A8,L1DTLB_PLRU_BANK1,DTLB_PLRU_BANK1_DEAD_001,DTLB PLRU bank1 dead,plru_bank1_refill_way unconnected in install module - bank1 PLRU update path absent,Verify dual-bank PLRU symmetry and replacement fairness across 16 entries,plru_bank_balance_seq,Directed,Function Coverage,cg_plru_bank_balance,N/A,lsu_random_vaddr_seq,Both banks reach 100 percent way replace,P2,mmu/rtl/mmu_l1dtlb_install.sv,Internal,Active
F3.15,L2 skew hash,F3.15,L2TLB_HASH,TC-HASH-001,L2 skew hash distribution,Skew-Associative bank index hash 8 banks,Verify hash function evenly distributes,hash dist seq,Directed,Function Coverage,l2tlb_skew_hash_cg,N/A,l2tlb_random_vaddr_seq,Distribution within tolerance,P0,mmu/rtl/mmu_l2tlb.sv,Internal,Active
F3.15,L2 skew hash bank conflict,F3.15,L2TLB_HASH,TC-HASH-002,L2 hash bank conflict,Adversarial VA pattern triggering bank conflict,Verify mask/serialize handles,bank conflict seq,Directed,Function Coverage,l2tlb_skew_hash_cg,N/A,l2tlb_random_vaddr_seq,No livelock,P1,mmu/rtl/mmu_arb.sv,Internal,Active
F3.15,L2 skew hash documentation,F3.15,L2TLB_HASH,TC-HASH-DOC-001,L2 hash spec doc,Document skew hash polynomial in spec,Verify doc consistent with RTL,N/A,Documentation,N/A,N/A,N/A,Doc match,P1,mmu/rtl/mmu_l2tlb.sv,Internal,Active
F3.16,L2 SRAM RAW,F3.16,L2TLB_SRAM_RAW,TC-SRAM-RAW-001,L2 SRAM same-cycle RAW,Same-cycle write-then-read on same addr,Verify RAW behavior matches model,sram raw seq,Directed,Function Coverage,sram_collision_cg,N/A,l2tlb_random_vaddr_seq,Match expected,P0,mmu/rtl/ct_spsram_256x196.v,Internal,Active
F13.13,L2 SRAM WEN,F13.13,L2TLB_SRAM_WEN,TC-SRAM-WEN-001,L2 SRAM byte-WEN,SRAM WEN bit-mask write,Verify WEN per-bit valid,wen seq,Directed,Function Coverage,sram_collision_cg,sva_wen_bit,l2tlb_random_vaddr_seq,Bits correctly written,P2,mmu/rtl/ct_spram_wrapper.sv,Internal,Active
F3.17,L2 SRAM no-reset valid clear,F3.17,L2TLB_SRAM_RST,TC-SRAM-RST-001,L2 SRAM no-reset,SRAM macro no reset valid clear by ext FF,Verify post-reset no-X first read,reset+read seq,Directed,Function Coverage,sram_collision_cg,sva_no_x_after_reset,l2tlb_base_seq,No X first read,P0,mmu/rtl/ct_spsram_256x196.v,Internal,Active
F3.18,L2 RRPV wbuf bypass,F3.18,L2TLB_RRPV_WBUF,TC-RRPV-WBUF-001,L2 RRPV wbuf bypass,RRPV wbuf write-buffer bypass path,Verify bypass correct,rrpv wbuf seq,Directed,Function Coverage,rrpv_wbuf_cg,N/A,l2tlb_random_vaddr_seq,Bypass path correct,P0,mmu/rtl/mmu_l2tlb_rrpv_wbuf.sv,Internal,Active
F3.18,L2 RRPV wbuf flush,F3.18,L2TLB_RRPV_WBUF,TC-RRPV-WBUF-002,L2 RRPV wbuf flush,RRPV wbuf flush draining to SRAM,Verify drain correct,rrpv wbuf flush seq,Directed,Function Coverage,rrpv_wbuf_cg,N/A,l2tlb_random_vaddr_seq,Drain correct,P0,mmu/rtl/mmu_l2tlb_rrpv_wbuf.sv,Internal,Active
F3.18,L2 RRPV wbuf concurrent,F3.18,L2TLB_RRPV_WBUF,TC-RRPV-WBUF-003,L2 RRPV wbuf concurrent,Concurrent RRPV update + access,Verify no race,wbuf concurrent seq,Directed,Function Coverage,rrpv_wbuf_cg,N/A,l2tlb_random_vaddr_seq,No race,P1,mmu/rtl/mmu_l2tlb_rrpv_wbuf.sv,Internal,Active
F3.19,L2 RRPV wbuf full,F3.19,L2TLB_RRPV_FULL,TC-RRPV-FULL-001,L2 RRPV wbuf full,RRPV wbuf full back-pressure,Verify stall correct,wbuf full seq,Directed,Function Coverage,rrpv_wbuf_cg,N/A,l2tlb_random_vaddr_seq,Back-pressure correct,P1,mmu/rtl/mmu_l2tlb_rrpv_wbuf.sv,Internal,Active
F3.20,L2 victim corner,F3.20,L2TLB_VICTIM,TC-RRPV-VICTIM-001,L2 victim all-3,All ways at RRPV=3 victim selection,Verify all promoted,victim corner seq,Directed,Function Coverage,l2tlb_bank_cg,N/A,l2tlb_random_vaddr_seq,Selection deterministic,P1,mmu/rtl/mmu_l2tlb_replacement_policy.sv,Internal,Active
F3.20,L2 victim none-3,F3.20,L2TLB_VICTIM,TC-RRPV-VICTIM-002,L2 victim no-3,No way at RRPV=3 promotion,Verify aging,victim corner seq,Directed,Function Coverage,l2tlb_bank_cg,N/A,l2tlb_random_vaddr_seq,Aging correct,P1,mmu/rtl/mmu_l2tlb_replacement_policy.sv,Internal,Active
F3.20,L2 victim mixed,F3.20,L2TLB_VICTIM,TC-RRPV-VICTIM-003,L2 victim mixed,Mixed RRPV values,Verify lowest selected,victim corner seq,Directed,Function Coverage,l2tlb_bank_cg,N/A,l2tlb_random_vaddr_seq,Lowest selected,P1,mmu/rtl/mmu_l2tlb_replacement_policy.sv,Internal,Active
F3.21,L2 pplru reset,F3.21,L2TLB_PPLRU,TC-PPLRU-RST-001,L2 pplru reset,pplru tree post-reset state,Verify deterministic init,reset+seq,Directed,Function Coverage,l2tlb_bank_cg,N/A,l2tlb_base_seq,Deterministic,P1,mmu/rtl/pplru.sv,Internal,Active
F3.22,L2 ReqQ FSM,F3.22,L2TLB_REQQ,TC-REQQ-FSM-001,L2 ReqQ FSM coverage,ReqQ FSM all states/transitions,Verify all visited,reqq seq,Directed,Function Coverage,l2tlb_reqq_cg,N/A,l2tlb_random_vaddr_seq,All states reached,P0,mmu/rtl/mmu_l2tlb_reqq.sv,Internal,Active
F3.22,L2 ReqQ bypass,F3.22,L2TLB_REQQ,TC-REQQ-BYPASS-001,L2 ReqQ bypass empty,ReqQ bypass when empty,Verify direct path,reqq seq,Directed,Function Coverage,l2tlb_reqq_cg,N/A,l2tlb_random_vaddr_seq,Bypass correct,P0,mmu/rtl/mmu_l2tlb_reqq.sv,Internal,Active
F3.23,L2 ReqQ retry,F3.23,L2TLB_REQQ_RETRY,TC-REQQ-RETRY-001,L2 ReqQ retry,Retry on bank conflict,Verify retry path,retry seq,Directed,Function Coverage,l2tlb_reqq_cg,N/A,l2tlb_random_vaddr_seq,Retry correct,P0,mmu/rtl/mmu_l2tlb_reqq_entry.sv,Internal,Active
F3.23,L2 ReqQ FFZ,F3.23,L2TLB_REQQ_FFZ,TC-REQQ-FFZ-001,L2 ReqQ FFZ alloc,Find-First-Zero alloc all entries,Verify all slots used,reqq ffz seq,Directed,Function Coverage,l2tlb_reqq_cg,N/A,l2tlb_random_vaddr_seq,All slots used,P0,mmu/rtl/mmu_l2tlb_reqq.sv,Internal,Active
F3.24,L2 ReqQ ITLB DTLB share,F3.24,L2TLB_REQQ,TC-REQQ-ITLB-DTLB-001,L2 ReqQ shared,ITLB and DTLB requests sharing ReqQ,Verify fair sharing,reqq mix seq,Constrained-Random,Function Coverage,l2tlb_reqq_cg,N/A,l2tlb_random_vaddr_seq,Fair sharing,P0,mmu/rtl/mmu_l2tlb_reqq.sv,Internal,Active
